Rent,Bathrooms,YearBuilt,SqFt,AC,Parking,Rooms
600,1,1985,4,1,1,3
600,1,1985,4,1,1,3
750,1,1950,10,1,1,4
1332,2,1970,13,1,1,4
912,1,1950,7,0,1,3
765,1,1950,9.5,1,1,4
705,1,1970,7.5,1,1,3
750,2,1919,11,1,0,5
380,1,1970,13,0,0,4
580,1,1960,6,0,1,5
1030,2,1960,9,0,1,4
476,1,1920,4,1,0,4
500,1,1920,6.24,1,0,7
650,1,1940,1.5,0,1,6
650,1,1940,1.5,0,1,6
600,1,1960,1.5,1,1,6
600,1,1960,1.5,1,1,6
400,1,1920,2.5,1,0,2
450,1,1950,0.99,0,0,4
450,1,1919,15,0,0,7
800,1,1940,18,0,0,6
450,1,1940,9,1,0,7
405,1,1950,0.99,1,0,3
550,1,1950,3.8,1,0,5
1000,2,1919,6.55,1,0,7
1000,2,1919,6.55,1,0,7
1000,2,1919,6.55,1,0,7
695,1,1960,2,0,0,1
825,1,1970,8,1,1,5
105,1,1950,0.99,0,0,4
600,1,1940,11,1,1,6
350,1,1940,3,0,0,4
1220,1,1919,15,0,0,5
550,1,1930,14,0,0,5
550,1,1960,10,0,0,4
225,1,1960,5,0,1,3
600,1,1960,6.2,1,1,3
400,1,1919,6.5,1,0,4
825,1,1920,9.2,1,0,3
450,1,1919,26,0,0,5
795,1,1920,9,1,0,3
460,1,1920,3,1,0,2
101,1,1950,6,1,0,5
193,1,1970,5,1,0,3
550,1,1960,8,1,1,3
525,1,1970,8,1,1,3
300,1,1950,8,0,1,5
525,1,1970,5,1,1,3
525,1,1970,5,1,1,3
540,1,1920,4.5,1,1,2
650,1,1970,17,1,1,4
650,1,1950,6,1,1,3
630,1,1950,7,0,1,4
700,1,1975,7,0,1,3
1100,1,1940,10,1,1,6
1100,1,1940,10,1,1,6
650,1,1960,9,0,1,5
625,1,1960,17,0,1,3
485,1,1940,6,1,1,4
505,1,1950,6,1,1,4
350,1,1950,7,0,0,5
800,1,1960,15,1,1,4
700,1,1960,7.5,1,1,5
1300,1,1970,7,1,1,2
800,1,1960,6,1,1,3
1050,1,1950,8,1,1,3
800,1,1970,4,1,1,4
600,1,1950,8,1,0,4
500,1,1940,9,0,0,5
1150,1,1975,8.5,1,1,4
600,1,1950,8,1,1,4
750,1,1970,7,0,1,3
900,2,1940,10,0,1,5
700,2,1970,9,0,0,5
635,1,1950,6,1,0,4
550,1,1960,9,0,0,3
558,1,1960,4.6,0,0,3
550,1,1950,9,0,0,3
650,1,1970,6,0,0,4
990,2,1950,8,1,0,5
830,1,1970,8,0,0,5
700,1,1970,6,0,1,4
700,1,1970,6,0,1,4
809,1,1960,7.5,0,0,4
1100,2,1970,16,1,1,8
388,1,1980,6.5,1,0,3
255,1,1993,5,1,0,2
600,1,1992,9,0,1,4
675,1,1985,5,1,1,3
775,2,1975,7.4,1,1,4
225,1,1985,10,0,0,4
560,1,1980,6.5,0,1,4
650,2,1980,9,0,0,4
115,1,1980,4,0,0,3
850,1,1985,7,1,0,3
780,1,1975,8.5,1,1,3
560,2,1980,11,1,1,4
550,1,1985,5,1,1,5
550,1,1985,5,1,1,5
