bought,region,size,oldest,income,children,race,connection,hispanic
68.86,1,2,6,5,0,1,1,0
5.3,3,4,8,7,1,1,1,0
109.99,3,3,4,3,1,1,1,0
20.52,3,3,4,6,1,1,1,1
42.94,1,2,11,4,1,1,0,1
15.01,3,3,8,7,1,1,1,0
79.04,1,2,6,6,0,1,1,0
40.27,1,1,10,2,0,1,1,0
45.7,3,4,11,4,1,2,1,0
206.4,3,3,11,3,1,1,1,0
99.99,2,5,3,3,1,1,1,0
43.98,2,2,11,3,1,1,1,0
21.98,2,3,6,4,1,2,1,0
48.56,4,2,8,6,0,1,1,1
131.92,3,3,11,5,1,1,1,0
18.45,2,5,11,1,0,1,0,0
49.99,3,4,11,6,1,1,1,0
26.97,4,2,6,1,0,1,1,1
149.99,2,1,7,7,0,1,1,0
116.93,3,1,11,5,0,1,1,0
24.98,1,1,10,6,0,1,0,0
45.31,2,2,11,6,1,1,1,0
44.02,3,4,6,7,1,1,1,0
114.08,2,3,8,5,1,1,1,0
20,1,3,4,4,1,1,1,0
10.17,3,1,10,3,0,2,1,1
22.45,4,2,7,7,1,1,1,1
32.97,2,2,11,6,0,1,1,0
27.33,4,6,3,5,1,2,0,1
0.01,4,4,9,1,1,1,1,0
73.96,3,2,5,7,0,1,1,0
49.71,3,6,11,2,1,2,1,1
27.97,1,4,11,1,0,1,1,0
112.89,4,6,6,7,1,1,1,0
53.65,3,4,7,7,1,1,1,0
32.34,3,3,11,4,1,1,1,0
3.5,2,3,8,5,1,1,1,0
39.85,1,2,10,5,0,1,1,1
10.99,2,4,7,7,1,1,1,0
41.43,3,4,5,6,0,1,1,0
391.92,1,4,10,5,1,1,1,0
2,3,6,6,5,1,1,1,0
84.11,2,1,6,1,0,1,1,1
128.15,4,2,3,4,1,1,1,0
113.24,3,6,10,2,1,1,1,0
22.73,3,3,8,6,1,1,1,1
38.37,3,3,11,1,1,1,1,1
233.37,3,2,4,7,0,1,1,0
30.63,2,5,9,7,1,1,1,1
154.87,3,3,11,6,1,1,1,1
538.47,3,3,9,5,1,1,1,0
5,4,3,10,2,0,5,1,1
13.59,3,3,2,5,1,1,1,1
127.94,2,4,7,5,1,1,1,0
